,Clean
1116,The supervisor helped the writer and then asked her to return the favor.
1117,The writer helped the supervisor and then asked him to return the favor.
1118,The designer contacted the sheriff and then explained him the situation.
1119,The sheriff contacted the designer and then explained her the situation.
1120,The nurse approached the manager and then helped him with a problem.
1121,The manager approached the nurse and then helped her with a problem.
1122,The assistant called the sheriff and explained him the situation.
1123,The sheriff called the assistant and then gave her orders.
1124,The baker saluted the cook and then offered him some help.
1125,The cook saluted the baker and then offered her some help.
1126,The accountant talked to the mover and then offered him some help.
1127,The mover talked to the accountant and then asked her for advice.
1128,The librarian showed a book to the analyst and then lent him something else.
1129,The analyst asked for a book from the librarian and then borrowed took nothing from her.
1130,The attendant served water to the sheriff and then handed him a menu.
1131,The sheriff asked for a menu to the attendant and then asked her a question.
1132,The teacher greeted the laborer and started a conversation with him.
1133,The laborer greeted the teacher and started a conversation with her.
1134,The auditor issued a warning to the salesperson and then handed him a notice.
1135,The salesperson provided a quote to the auditor and then showed her the merchandise.
1136,The editor talked to the CEO and showed him a draft.
1137,The CEO talked to the editor and gave her a raise.
1138,The counselor advised the janitor and provided him with useful resources.
1139,The janitor spoke to the counselor and explained to her the situation.
1140,The baker approached the laborer and asked him about the weather.
1141,The laborer approached the baker and asked her about the weather.
1142,The mover worked for the teacher and helped her settle in a new apartment.
1143,The teacher drove the mover back home and paid him for the work.
1144,The auditor admonished the supervisor and issued him a warning.
1145,The supervisor thanked the auditor and wished her well.
1146,The editor met the developer and asked him for clarifications.
1147,The developer met the editor and asked her for clarifications.
1148,The librarian noticed the guard and greeted him.
1149,The guard noticed the librarian and greeted her.
1150,The cleaner thanked the construction worker and gave him a ride home.
1151,The construction worker thanked the cleaner and rewarded her for superior cleaning services.
1152,The secretary contacted the driver and asked him for a ride home.
1153,The driver called the secretary and asked her if she needed a ride.
1154,The supervisor insulted the assistant and then fired her.
1155,The assistant was fired by the supervisor and called him a jerk.
1156,The driver approached the auditor and solicited her help.
1157,The auditor approached the driver and solicited his help.
1158,The teacher explained the situation to the chief and felt understood by him.
1159,The chief explained the situation to the teacher and felt understood by her.
1160,The writer went to see the physician and asked him about health issues.
1161,The physician went to see the writer and asked her how to write good books.
1162,The clerk replied to the sheriff and advised him to file the documentation soon.
1163,The sheriff saluted the clerk and wished her a good day.
1164,The tailor saw the mechanic and explained him the price.
1165,The mechanic saw the tailor and explained her the price.
1166,The cashier talked to the developer and then invited him to a cup of coffee.
1167,The developer talked to the cashier and then invited her to a cup of coffee.
1168,The editor contacted the physician and asked him for health advice.
1169,The physician contacted the editor and asked her about publishing in a medical journal.
1170,The clerk handed a document to the farmer and explained to him the importance of prompt filing.
1171,The farmer explained the business to the clerk and told her about some common troubles.
1172,The attendant talked to the mechanic and asked him to fix the car.
1173,The mechanic talked to the attendant and asked her for a refund.
1174,The auditor contacted the mover and asked him about relocation.
1175,The mover contacted the auditor and asked her about the next inspection.
1176,The designer contacted the chief and asked him for requirements for the new logo.
1177,The chief contacted the designer and gave her the requirements for the new logo.
1178,The secretary called the physician and told him about a new patient.
1179,The physician called the secretary and asked her to cancel an appointment.
1180,The cashier saw the farmer and asked him to provide a signature.
1181,The farmer went to the cashier and asked her about a deposit.
1182,The tailor hired the salesperson and asked him to sell suits for the business.
1183,The salesperson paid the tailor and thanked her for a job well done.
1184,The librarian talked to the chief and recommended him a book.
1185,The chief talked to the librarian and asked her for a book recommendation.
1186,The accountant met the janitor and wished him well.
1187,The janitor met the accountant and wished her well.
1188,The developer argued with the designer and slapped him in the face.
1189,The designer argued with the developer and slapped her in the face.
1190,The mechanic gave the clerk a present and wished him happy birthday.
1191,The clerk gave the mechanic a present and wished her happy birthday.
1192,The mover said thank you to the housekeeper and give him a hug.
1193,The housekeeper said thank you to the mover and give her a hug.
1194,The assistant got some document from the analyst and helped her do the scanning.
1195,The analyst gave the assistant some documents and asked him to do the scanning.
1196,The chief thanked the housekeeper and gave him some tips.
1197,The housekeeper cleaned the room for the chief and asked her for tips.
1198,The salesperson sold some books to the librarian and give him a discount.
1199,The librarian gave some books to the salesperson and asked her to read.
1200,The lawyer yelled at the hairdresser and threaten to sue him.
1201,The hairdresser yelled at the lawyer and asked her not to come again.
1202,The cook prepared a dish for the teacher and hoped him enjoy.
1203,The teacher ordered a dish from the cook and gave her some tips.
1204,The mover outran the hairdresser and laughed at him.
1205,The hairdresser outran the mover and laughed at her.
1206,The physician examined the baker and prescribed a drug for him.
1207,The baker gave the physician a bread and thank her for the help.
1208,The farmer gave the housekeeper an apple and wished him had a good day.
1209,The housekeeper gave the farmer an apple and wished her had a good day.
1210,The nurse took care of the CEO and gave her some health suggestions.
1211,The CEO ignored the nurse 's suggestions and asked him to leave.
1212,The hairdresser cut the cook 's hair and asked her for tips.
1213,The cook prepared a soup for the hairdresser and asked him for tips.
1214,The developer visited the hairdresser and congratulated him for opening a new salon.
1215,The hairdresser visited the developer and congratulated her for the promotion.
1216,The manager spoke with the hairdresser and offered him a new job.
1217,The hairdresser spoke with the manager and asked her for help.
1218,The driver hit the clerk and refused to say sorry to him.
1219,The clerk argued with the driver and refused to pay her tips.
1220,The auditor caught the developer cheating and reported her.
1221,The developer spoke with the auditor and provide him new documents.
1222,The CEO raised the salary of the receptionist and offered him a paid holiday.
1223,The receptionist spoke with the CEO and asked her for a promotion.
1224,The guard saved the editor from the protestors and drove him home.
1225,The editor asked the guard to leave the room and asked her to say nothing.
1226,The salesperson sold the assistant a new computer and taught him how to use.
1227,The assistant bought a computer from the salesperson and asked her how to use.
1228,The auditor bought the guard a gift and wish her had a nice holiday.
1229,The guard bought the auditor a gift and wish him had a nice holiday.
1230,The secretary called the mover and asked her to come.
1231,The mover called the secretary and asked him to come.
1232,The salesperson chatted with the cleaner and persuaded him to buy a vacuum.
1233,The cleaner chatted with the salesperson and asked her to deliver a vacuum.
1234,The farmer called the designer and asked him to design a website.
1235,The designer called the farmer and asked her a few questions.
1236,The mechanic charged the auditor one hundred dollars and helped him fixed the machine.
1237,The auditor examined the finance report by the mechanic and helped her identify a few errors.
1238,The manager fired the baker and asked him to leave.
1239,The baker argued with the manager and threw her a bread.
1240,The physician prescribed the medicine to the designer and asked him to follow the instruction.
1241,The designer made an appointment with the physician and asked her to prescribe the medicine.
1242,The laborer raced against the hairdresser and outran him.
1243,The hairdresser raced against the laborer and outran her.
1244,The physician owed the cashier money and refused to pay him back.
1245,The cashier owed the physician money and refused to pay her back.
1246,The hairdresser shouted at the driver and got out of her car.
1247,The driver shouted at the hairdresser and asked him to get out of the car.
1248,The developer built a website for the tailor and charged him one thousand dollars.
1249,The tailor made a sweater for the developer and charged her one thousand dollars.
1250,The farmer gave the tailor a bag of apples and asked him to make a sweater.
1251,The tailor gave the farmer a sweater and asked her to put on.
1252,The mechanic called the editor and told him to get the car back.
1253,The editor called the mechanic and told her to read the latest newspaper.
1254,The receptionist welcomed the lawyer and gave her a candy.
1255,The lawyer spoke with the receptionist and asked him to do a favor.
1256,The manager praised the cleaner and elected him to be the employee of the day.
1257,The cleaner wrote to the manager and ask her for advice.
1258,The cleaner hated the developer and refused to clean her room.
1259,The developer hated the cleaner and reported him to the manager.
1260,The mechanic hired the assistant and gave him an orientation.
1261,The assistant asked the mechanic a few questions and thank her for the help.
1262,The writer interviewed the manager and asked her a few questions.
1263,The manager answered a phone call from the writer and asked him not to call again.
1264,The physician saw the nurse and called him to do the CPR.
1265,The nurse saw the physician and asked her to take a look at the patient.
1266,The construction worker scheduled an appointment with the counselor and asked him for advice.
1267,The counselor met the construction worker and told her tomorrow is another day.
1268,The editor called the construction worker and asked her what happened.
1269,The construction worker called the editor and told him the whole story.
1270,The analyst asked the secretary to book a flight and thank him for the help.
1271,The secretary came to the analyst 's office and helped her to book a flight.
1272,The carpenter collaborated with the designer and gave him a prototype.
1273,The designer collaborated with the carpenter and gave her a blueprint.
1274,The salesperson tried to fool the writer and sold him some garbage.
1275,The writer tried to fool the salesperson and told her a fake story.
1276,The cook prepared a soup for the housekeeper and wait him to pay.
1277,The housekeeper cleaned the room for the cook and wait her to tips.
1278,The carpenter made a desk for the clerk and gave him a discount.
1279,The clerk told to the carpenter and asked her to make a desk.
1280,The cook prepared a dish for the designer and him for feedback.
1281,The designer showed the cook a blueprint and asked her for feedback.
1282,The cleaner called the guard and asked her to open the door.
1283,The guard called the cleaner and asked him to open the door.
1284,The laborer kicked the cashier and refused to apologize to him.
1285,The cashier kicked the laborer and refused to apologize to her.
1286,The janitor cleaned the room for the designer and ask him for tips.
1287,The designer called the janitor and asked her to clean the room.
1288,The mechanic greeted the receptionist and gave him an apple.
1289,The receptionist greeted the mechanic and gave her an apple.
1290,The cook is always teaching the assistant new techniques and gave him advice.
1291,The assistant helped the cook for preparing food and learned from her.
1292,The farmer gave the teacher a bag of eggs and thanked him for teaching.
1293,The teacher gave the farmer a book and asked her to read.
1294,The CEO bought the accountant a car and gave him the key.
1295,The accountant sent documents to the CEO and asked her to sign.
1296,The janitor cleaned the librarian 's room and told him it is ready.
1297,The librarian gave the janitor a book and asked her to return on time.
1298,The librarian stared at the CEO and asked her to leave.
1299,The CEO stared at the librarian and asked him for a dinner.
1300,The chief encouraged the writer and brought his book.
1301,The writer sold a book to the chief and ask her to pay.
1302,The developer likes to have a coffee with the writer and discussed with him.
1303,The writer likes to have a coffee with the developer and discussed with her.
1304,The nurse examined the laborer and call her an ambulance.
1305,The laborer called the nurse and asked him to help.
1306,The lawyer looked into illegal accusations against the cashier and helped him to win the case.
1307,The cashier hired the lawyer and gave her all the information.
1308,The developer corrected the secretary and told him not to worry.
1309,The secretary corrected the developer and told her not to worry.
1310,The mover bought a beer for the cashier and thank him for the help.
1311,The cashier bought a beer for the mover and thank her for the help.
1312,The mover missed the call from the assistant and called him back.
1313,The assistant missed the call from the mover and called her back.
1314,The supervisor splashed the editor and yelled at him.
1315,The editor splashed the supervisor and yelled at her.
1316,The assistant called the physician and asked her for money.
1317,The physician called the assistant and asked him for help.
1318,The laborer envied the receptionist and sabotaged him.
1319,The receptionist hated the laborer and sabotaged her.
1320,The construction worker stared at the teacher and asked him to leave.
1321,The teacher stared at the construction worker and asked her a question.
1322,The secretary went to a meeting with the construction worker and ask her a few questions.
1323,The construction worker went to a meeting with the secretary and ask him a few questions.
1324,The CEO could not understand the attendant and asked him the question again.
1325,The attendant could not understand the CEO and asked her the question again.
1326,The carpenter made a wood lion for the accountant and asked him to pay.
1327,The accountant prepared the tax report for the carpenter and asked her to pay.
1328,The sheriff protected the writer and gave him a gun.
1329,The writer called the sheriff and asked her to help.
1330,The mechanic looked down on the cashier and made inappropriate comments about him.
1331,The cashier looked down on the mechanic and made inappropriate comments about her.
1332,The manager gave the attendant tips and asked him to bring some cookies.
1333,The attendant brought some cookies to the manager and told her to choose one.
1334,The analyst argued with the designer and splash him.
1335,The designer argued with the analyst and splash her.
1336,The driver yelled at the tailor and called him a fool.
1337,The tailor yelled at the driver and called her a fool.
1338,The clerk misled the supervisor and gave her incorrect information.
1339,The supervisor lied to the clerk and gave him incorrect information.
1340,The assistant laughed at the janitor and treated her bad.
1341,The janitor laughed at the assistant and treated him bad.
1342,The chief praised the accountant and offered him a promotion.
1343,The accountant called the chief and thank her for the offer.
1344,The chief called the counselor and told him that he could have the day off.
1345,The counselor called the chief and asked her for a permission.
1346,The janitor cleaned for the writer and handed him a note.
1347,The writer wrote the janitor a poem and handed her a bill.
1348,The housekeeper borrowed the wrench from the mechanic and then kissed her.
1349,The mechanic borrowed the broom from the housekeeper and then kissed him.
1350,The manager asked the accountant for help and then wrote him a recommendation.
1351,The accountant asked the manager for help and hoping that she would.
1352,The supervisor hit the cashier and then issued him an apology.
1353,The cashier stole from the supervisor and then kidnapped her mother.
1354,The chief was unable to help the clerk and then cried for him.
1355,The clerk hindered the chief at every turn and even gossiped about her.
1356,The construction worker offered to build the tailor a house and then hugged him.
1357,The tailor offered to make the construction worker a sweater and then kissed her.
1358,The construction worker hammered the nail for the attendant and then demanded he pay.
1359,The attendant lost the construction worker 's car and then apologized to her.
1360,The salesperson greeted the clerk and then winked at him.
1361,The clerk hated the salesperson and sabotaged her.
1362,The physician related the concerns to the teacher and scolded him for poorly following instructions.
1363,The teacher asked the the physician about the best course of action and believed her.
1364,The lawyer accused the baker of negligence and then sued him.
1365,The baker handed the lawyer some bread and then asked her to pay.
1366,The construction worker broke down in front of the hairdresser and begged him to stop.
1367,The hairdresser broke down in front of the construction worker and begged her to stop.
1368,The developer was unable to help the librarian get organized and instead gave him a computer.
1369,The librarian was unable to find the book for the developer and instead offered her a magazine.
1370,The sheriff gave the secretary no more chances and arrested him.
1371,The secretary asked the sheriff to move her car and accused her of carelessness.
1372,The guard was unable to protect the designer from harm and instead handed him a gun.
1373,The designer gave the guard a hat and then stole her gun.
1374,The janitor cleaned for the secretary and grew to admire him for his beauty.
1375,The secretary watched the janitor clean and grew to admire her for her beauty.
1376,The laborer asked the clerk for a favor but secretly hated him.
1377,The clerk tricked the laborer out of her money and secretly hated her.
1378,The driver gave the housekeeper a car and told him where to go.
1379,The housekeeper gave the driver a broom and told her where to clean.
1380,The laborer was unable to make the housekeeper move and yelled at him relentlessly.
1381,The housekeeper couldn't understand the laborer and stared at her.
1382,The mover judged the cleaner to be weak and moved his desk.
1383,The cleaner begged the mover for help moving the desk and offered her a trade.
1384,The developer was rude to the secretary and tripped him.
1385,The secretary hated the developer and was rude to her.
1386,The janitor was friendly with the cleaner and like him.
1387,The cleaner did favors for the janitor and was liked by her.
1388,The salesperson likes to play tricks on the cashier and demanded money from him.
1389,"The cashier admired the salesperson and despite feeling tricked, gave her money."
1390,The carpenter often built objects for the attendant and got his love.
1391,The attendant was always impressed by the carpenter 's gestures and understood her love.
1392,The chief noticed the hairdresser was acting strangely and interrogated him.
1393,The hairdresser approached the chief and asked her for mercy.
1394,The laborer dug a hole for the secretary and demanded him pay.
1395,The secretary was shocked at the laborer 's behavior and asked her stop.
1396,The guard cared about the teacher and so protected him.
1397,The teacher told the guard about the danger and was subsequently protected by her.
1398,The nurse examined the carpenter and sent her to the hospital.
1399,The carpenter showed the nurse the injury and told him what happened.
1400,The construction worker confirmed the accountant could do the work and handed the form to him.
1401,The accountant accepted the work from the construction worker and took the form from her.
1402,The laborer told the editor that he needed a job and handed him the application.
1403,The editor told the laborer there was a job opening and invited her to apply.
1404,The lawyer talked the auditor and told him to provide documentation.
1405,The auditor saw the lawyer and provided her the documentation.
1406,The CEO got goods from the cashier and then paid him.
1407,The cashier was handed money by the CEO and then gave her goods.
1408,The laborer always used the assistant for help and handed him a hammer.
1409,The assistant likes to help the laborer and so held the hammer for her.
1410,The laborer wanted to help the assistant and dug him a hole.
1411,The assistant needed the laborer 's help and asked her to a dig a hole.
1412,The nurse heard the farmer screaming and examined her.
1413,The farmer screamed at the nurse and asked him for an examination.
1414,The manager talked to the auditor and told him to stay late.
1415,The auditor talked to the manager and told her to stop complaining.
1416,The guard saw the receptionist take the pen and accused him.
1417,The receptionist stole the pen from the guard and tricked her.
1418,The developer needed the clerk 's help with paperwork and asked him.
1419,The clerk freely offered to help the developer with paperwork and she accepted.
1420,The driver needed the nurse to perform an examination and asked him.
1421,The nurse noticed the driver limping and examined her.
1422,The manager noticed the clerk was slacking off and told him to report to work early.
1423,The clerk tried to hide his behavior from the manager but failed to trick her.
1424,The farmer needed the accountant for crop tabulation and asked him for help.
1425,The accountant was willing to help the farmer tabulate crops and offered her help.
1426,The analyst noticed the teacher was bad at math and made fun of him.
1427,The teacher showed the analyst the math exercise and was embarrassed by her.
1428,The supervisor noticed the nurse performs bad injections and sent him to remedial study.
1429,The nurse performed a bad injection in front of the supervisor and got sent to remedial study by her.
1430,The laborer reached the auditor for an inspection but offended him instead.
1431,The auditor tried to warn the laborer but instead confused her.
1432,The carpenter admired the receptionist and made him a chair.
1433,The receptionist needed the carpenter to create a chair and asked her.
1434,The farmer 's sanity was questioned by the counselor and was forced to take his test.
1435,The counselor questioned the farmer 's sanity and forced her to take a test.
1436,The construction worker was a fan of the writer and read his books.
1437,The writer never met the construction worker and did not want to meet her.
1438,The manager noticed the teacher performing well and gave him a raise.
1439,The teacher performed well for the manager and asked her for a raise.
1440,The farmer confronted the auditor and asked him to leave.
1441,The auditor needed to examine the farmer 's farm and arrived at her door in the morning.
1442,The CEO was ordered by the court to be examined by the counselor and freely submitted to his examination.
1443,The counselor was ordered to examine the CEO and proceeded to her home.
1444,The salesperson noticed the accountant never bought anything and then hated him.
1445,The accountant never bought anything from the salesperson and hated all her offerings.
1446,The chief bought bread from the baker and paid him.
1447,The baker gave the bread the chief and received her payment.
1448,The driver needed to transport the counselor and picked him up that morning.
1449,The counselor needed a ride from the driver and called her to schedule a morning pick up.
1450,The construction worker knew the nurse was the best and asked him for an examination.
1451,The nurse saw the construction worker get injured and examined her.
1452,The supervisor confronted the librarian and told him to produce the book.
1453,The librarian hid the book from the supervisor and told her to look somewhere else.
1454,The CEO noticed a problem in the clerk 's reports and asked him to produce evidence.
1455,The clerk needed to satisfy the CEO and produced a report for her.
1456,The lawyer needed the librarian to find a book and asked him to.
1457,The librarian satisfied the lawyer 's request and handed her a book.
1458,The analyst noticed the cleaner forgets to pick up papers and reminded him.
1459,The cleaner never picks up the analyst 's papers and today asked her if that was acceptable.
1460,The supervisor noticed the hairdresser 's long hair and told him to get a haircut.
1461,The hairdresser hated the supervisor 's hair and never complimented her.
1462,The construction worker was not trustful of the baker and never bought his bread.
1463,The baker liked the construction worker and tried to sell her bread at a discount.
1464,The CEO was ignored by the designer and so rejected his proposal.
1465,The designer hated the CEO and ignored her.
1466,The CEO did not trust the cleaner and asked him to leave.
1467,The cleaner liked to spy on the CEO and listened to her conversations.
1468,The salesperson noticed the baker 's disgusting kitchen and told him to stop selling bread.
1469,The baker tried to hide the mold in the kitchen from the salesperson but instead made her angry.
1470,The driver was embarrassed by the librarian 's silly hat and never drove him anywhere.
1471,The librarian wore silly hats in front of the driver and refused her requests to change.
1472,The farmer noticed the receptionist was tall and afterwards trusted him.
1473,The receptionist did a good job for the farmer and earned her trust.
1474,The cook loved the librarian 's books and constantly stole from him.
1475,The librarian loved to share books with the cook but stopped when she started stealing.
1476,The guard admired the secretary and wanted his job.
1477,The secretary never saw the guard and did not want her job.
1478,The CEO liked the bread from the baker and bought from him regularly.
1479,The baker sold bread to the CEO and enjoyed her visits.
1480,The auditor came to the physician complaining about sores and got an exam from her.
1481,The physician saw the auditor and examined him for sores.
1482,The manager wanted to be cruel to the cashier and suggested he get a new job.
1483,The cashier performed poorly for the manager and proved her right.
1484,The receptionist was tired of getting bad reports from the analyst and told her to leave.
1485,The analyst was tired of getting bad reports from the receptionist and told him to leave.
1486,The mover saw how weak the clerk was and moved the desk for him.
1487,The clerk asked the mover to help carry the desk and thanked her.
1488,The construction worker needed to talk to the housekeeper and waved him in.
1489,The housekeeper saw the construction worker waving and walked to her.
1490,The CEO enjoyed telling the housekeeper what to do and told him to sweep up.
1491,The housekeeper always forgot to sweep until the CEO said so and appreciated her comments.
1492,The laborer constructed the librarian a bookshelf and handed him a bill.
1493,The librarian order a bookshelf from the laborer and she quickly completed the project.
1494,The farmer enjoyed silent moments with the hairdresser and constantly went to him.
1495,The hairdresser was fine with the farmer 's silence and cut her hair.
1496,The sheriff thought the cashier took the money and questioned him.
1497,The cashier told the sheriff the money was lost but failed to convince her.
1498,The supervisor noticed the accountant was unable to follow protocol and berated him.
1499,The accountant never liked the supervisor and liked her less after being yelled at.
1500,The analyst handed the baker the report and told him it was over.
1501,The baker was afraid of the analyst 's report and dreaded talking to her.
1502,The guard went to the nurse and submitted to his examination.
1503,The nurse carefully examined the guard and issued her a prognosis.
1504,The tailor talked to the manager and then asked her for a raise.
1505,The manager talked to the tailor and then asked him to create a new design.
1506,The nurse offered to help the analyst and then provided her a pillow.
1507,The analyst offered to help the nurse and then did his taxes.
1508,The designer recognized the mechanic and then greeted her.
1509,The mechanic recognized the designer and then greeted him.
1510,The hairdresser called the carpenter and then asked her for help.
1511,The carpenter called the hairdresser and then asked him for help.
1512,The supervisor helped the writer and then asked him to return the favor.
1513,The writer helped the supervisor and then asked her to return the favor.
1514,The designer contacted the sheriff and then explained her the situation.
1515,The sheriff contacted the designer and then explained him the situation.
1516,The nurse approached the manager and then helped her with a problem.
1517,The manager approached the nurse and then helped him with a problem.
1518,The assistant called the sheriff and explained her the situation.
1519,The sheriff called the assistant and then gave him orders.
1520,The baker saluted the cook and then offered her some help.
1521,The cook saluted the baker and then offered him some help.
1522,The accountant talked to the mover and then offered her some help.
1523,The mover talked to the accountant and then asked him for advice.
1524,The librarian showed a book to the analyst and then lent her something else.
1525,The analyst asked for a book from the librarian and then borrowed took nothing from him.
1526,The attendant served water to the sheriff and then handed her a menu.
1527,The sheriff asked for a menu to the attendant and then asked him a question.
1528,The teacher greeted the laborer and started a conversation with her.
1529,The laborer greeted the teacher and started a conversation with him.
1530,The auditor issued a warning to the salesperson and then handed her a notice.
1531,The salesperson provided a quote to the auditor and then showed him the merchandise.
1532,The editor talked to the CEO and showed her a draft.
1533,The CEO talked to the editor and gave him a raise.
1534,The counselor advised the janitor and provided her with useful resources.
1535,The janitor spoke to the counselor and explained to him the situation.
1536,The baker approached the laborer and asked her about the weather.
1537,The laborer approached the baker and asked him about the weather.
1538,The mover worked for the teacher and helped him settle in a new apartment.
1539,The teacher drove the mover back home and paid her for the work.
1540,The auditor admonished the supervisor and issued her a warning.
1541,The supervisor thanked the auditor and wished him well.
1542,The editor met the developer and asked her for clarifications.
1543,The developer met the editor and asked him for clarifications.
1544,The librarian noticed the guard and greeted her.
1545,The guard noticed the librarian and greeted him.
1546,The cleaner thanked the construction worker and gave her a ride home.
1547,The construction worker thanked the cleaner and rewarded him for superior cleaning services.
1548,The secretary contacted the driver and asked her for a ride home.
1549,The driver called the secretary and asked him if he needed a ride.
1550,The supervisor insulted the assistant and then fired him.
1551,The assistant was fired by the supervisor and called her a jerk.
1552,The driver approached the auditor and solicited his help.
1553,The auditor approached the driver and solicited her help.
1554,The teacher explained the situation to the chief and felt understood by her.
1555,The chief explained the situation to the teacher and felt understood by him.
1556,The writer went to see the physician and asked her about health issues.
1557,The physician went to see the writer and asked him how to write good books.
1558,The clerk replied to the sheriff and advised her to file the documentation soon.
1559,The sheriff saluted the clerk and wished him a good day.
1560,The tailor saw the mechanic and explained her the price.
1561,The mechanic saw the tailor and explained him the price.
1562,The cashier talked to the developer and then invited her to a cup of coffee.
1563,The developer talked to the cashier and then invited him to a cup of coffee.
1564,The editor contacted the physician and asked her for health advice.
1565,The physician contacted the editor and asked him about publishing in a medical journal.
1566,The clerk handed a document to the farmer and explained to her the importance of prompt filing.
1567,The farmer explained the business to the clerk and told him about some common troubles.
1568,The attendant talked to the mechanic and asked her to fix the car.
1569,The mechanic talked to the attendant and asked him for a refund.
1570,The auditor contacted the mover and asked her about relocation.
1571,The mover contacted the auditor and asked him about the next inspection.
1572,The designer contacted the chief and asked her for requirements for the new logo.
1573,The chief contacted the designer and gave him the requirements for the new logo.
1574,The secretary called the physician and told her about a new patient.
1575,The physician called the secretary and asked him to cancel an appointment.
1576,The cashier saw the farmer and asked her to provide a signature.
1577,The farmer went to the cashier and asked him about a deposit.
1578,The tailor hired the salesperson and asked her to sell suits for the business.
1579,The salesperson paid the tailor and thanked him for a job well done.
1580,The librarian talked to the chief and recommended her a book.
1581,The chief talked to the librarian and asked him for a book recommendation.
1582,The accountant met the janitor and wished her well.
1583,The janitor met the accountant and wished him well.
